days_since_publication,cited_by_count,ProjectTitle
5969,3,The Impact of Difference in Enumeration Procedures and Changes in Complex Survey Questions:  Census/ACS Disability Questions
4718,74,Leveraging novel data linkages to predict mortality trends within the US population
2651,37,"The Long-Run Determinants of Social, Demographic, and Economic Characteristics and Processes"
3681,16,The Impact of Difference in Enumeration Procedures and Changes in Complex Survey Questions:  Census/ACS Disability Questions
1583,5,"Investigating the Influence of Urbanicity on Employment, Commuting & Wage Earnings among People with Disabilities"
3413,0,New Insights into U.S. Food Manufacturing Productivity: Implications for Employment and Firm Performance
704,9,Employment Responses to Federal and State Changes in Access to Private and Public Health Insurance
3021,1,Evaluating the Quality of the SIPP-EHC Field Tests Using Administrative Records and Paradata
882,6,Synthetic Data Generation for Small Area Estimation
1684,27,"Evicted America: National Study of Eviction Prevalence, Causes, and Consequences"
2615,35,County level estimates of childhood obesity using the 2020 and 2021 National Survey of Children's Health
2493,159,Sub-State Analysis of National Survey of Children's Health (NSCH) Oversamples for State and Local Public Health Planning & Assessment
181,1,"Dynamics of Employment, Trade and Investment  at Multinational Firms"
937,7,Bargaining power in firm-to-firm relationships
1188,16,Do Big Box Grocers Improve Food Security?
1586,1,Do Big Box Grocers Improve Food Security?
1586,0,Do Big Box Grocers Improve Food Security?
1405,2,Do Big Box Grocers Improve Food Security?
1586,3,Individual and Environmental Characteristics and Employment Outcomes for People with Disabilities
5081,538,The Antecedents and Consequences of Employee Entrepreneurship
5969,57,The Antecedents and Consequences of Employee Entrepreneurship
1772,4,The Relationship between Military Service and STEM Outcomes: Integrating Data from Three Federal Statistical Agencies
3413,1,The Effects of Interactions with International Markets on US Firm Performance
1047,11,"""Fixing"" 1990-2010 Census Geography: Geocoding Restricted Data and Assessing Public Estimates"
4357,33,Effects of the Family and Medical Leave Act on Firms and Workers: Evidence from the LEHD
2731,62,Community Variation in Victim Crime Reporting: A Multilevel Analysis Using Data from the Area-Identified NCVS
1933,31,Using the National Crime Victimization Survey to Understand the Effects of State and Local Policies on the Incidence of Sexual Assault and Domestic Violence
1198,17,Using the National Crime Victimization Survey to Understand the Effects of State and Local Policies on the Incidence of Sexual Assault and Domestic Violence
967,2,The Rise of Punitive Criminal Justice Policy in the Wake of the Great Migration
4508,0,Understanding Cooperative Organizations
7430,10,Public Subsidies and Higher Education
4615,7,Public Subsidies and Higher Education
5239,3,Public Subsidies and Higher Education
7371,1,Public Subsidies and Higher Education
5239,0,Public Subsidies and Higher Education
5604,0,Public Subsidies and Higher Education
1617,34,Measuring Uncertainty Over the Business Cycle
1952,4,Measuring Uncertainty Over the Business Cycle
1952,1,Measuring Uncertainty Over the Business Cycle
3047,30,Measuring Uncertainty Over the Business Cycle
491,0,Using Restricted Census Data to Examine Labor Union Formation and its Wage Effects for Multinational Firms and their Establishments in the Manufacturing Sector
2606,5,"Oil and Gas Siting, Housing Choices, and Environmental Justice"
1221,7,The Impact of Spin-out Generation on Parent and Progeny Firms
826,2,Health and Migration in the Continental United States
8161,6,Marriage and Economic Opportunity in the United States
117,0,Answering the race question
3336,28,Answering the race question
2197,88,Estimating Area-Level Economic and Demographic Processes using March CPS Data
856,0,"Trends, Transitions, and Well-Being in Small-Town America"
1750,2,Synthetic Data Generation for Small Area Estimation
5726,11,Local Credit Availability and the Performance of Small and Young Businesses
2839,5,Analysis of Census Nonemployer Data and Integration of These  Data into Other Census Longitudinal Data Series
6375,81,Local Credit Availability and the Performance of Small and Young Businesses
1952,28,Economic Impact of Science and Engineering Workers
235,1,The Role of Agents and Brokers in the Market for Health Insurance - An Analysis of MEPS-IC
4508,16,"Labor Market Shocks, Geography, and Government Policy:  Evidence Using Matched Employer-Employee Data"
4143,5,"Unemployment Insurance Duration, Labor Market Concentration, and Match Quality: Evidence from the Great Recession"
4508,5,The Dynamics of Owner Age and Business Performance
1466,30,Dynamics of Plant-level Productivity in the U.S.
7065,48,A Firm and Plant-Level Analysis of Outsourcing: Sources of Productivity Growth and Heterogeneity
7126,9,A Firm and Plant-Level Analysis of Outsourcing: Sources of Productivity Growth and Heterogeneity
2317,0,Competition and Industry Structure in Food Services
7279,12,The Role of Agents and Brokers in the Market for Health Insurance - An Analysis of MEPS-IC
1376,15,Evaluating the Utility of SIPP Data to Examine the Increasingly Heterogeneous Foreign Born Population
3312,266,Market Structure and the Evolution of the Garment Cleaning Industry
4630,45,Market Structure and the Evolution of the Garment Cleaning Industry
148,0,"""Estimating the Impact of Union Organization on Establishment Survival and Employment: Evidence from Census and Commercial Market Research Data"""
917,1,R&D Expenditures by Industry
3200,1,Intergenerational Inequality in the US
2615,11,The Effects of WIC Physical Presence Requirements on Program Participation Outcomes
5676,117,The Effects of WIC Physical Presence Requirements on Program Participation Outcomes
4874,2,The Demographics of Air Conditioning Adoption: Evidence from the American Housing Survey
460,0,Evaluating the Quality of the SIPP-EHC Field Tests Using Administrative Records and Paradata
3413,3,"Introduction of Head Start, Maternal Labor Supply and Child Outcomes"
1221,0,Understanding the Migration of Older Americans
7918,126,Understanding the Migration of Older Americans
856,0,The Relationship between Military Service and STEM Outcomes: Integrating Data from Three Federal Statistical Agencies
640,0,"Understanding the Relationships Between Gender/Racial Diversity, Management Practices, and Organizational Performance"
5327,208,Using Plant-Level Data to Assess the Motives for Aggregating Line of Business Information
5969,34,Using Plant-Level Data to Assess the Motives for Aggregating Line of Business Information
2857,350,Economic Data Aggregation Bias: Empirical Evidence from the Energy Sector
1712,16,"Immigration, Earnings and the Dynamics of Labor Market Adjustment in the United States: Comparing CPS Earnings to LEHD Earnings Records"
707,9,Analysis of the Child Care Market in the United States
3800,39,Occupational Mobility Among Recent U.S. Birth Cohorts
1185,7,Trends and Disparities in Fatal Occupational Injuries
7573,17,Trends and Disparities in Fatal Occupational Injuries
2573,18,Trends and Disparities in Fatal Occupational Injuries
827,3,Trends and Disparities in Fatal Occupational Injuries
4167,245,Constructing a Geography for Census Microdata
3721,82,Seasonality of Transportation Data in the American Community Survey
3182,101,Improving the Connection between the Spatial and the Survey Sciences
2590,23,Improving the Connection between the Spatial and the Survey Sciences
692,3,Improving the Connection between the Spatial and the Survey Sciences
1954,7,CM99-07  A Demographic Study of Alternative Household Structures
547,3,Gated Communities and Inequality in the United States
1952,0,Analysis of the Child Care Market in the United States
2393,6,Improving the Connection between the Spatial and the Survey Sciences
2266,32,Improving the Connection between the Spatial and the Survey Sciences
6335,8,"The Residential Segregation of Immigrant Groups in the United States, 1910-2000"
1586,8,The Effect of Rent Control and Inclusionary Zoning on Housing Affordability and Access to Opportunity
875,10,The Roles of the Opioid and COVID Crises in Entrepreneurship and Innovation
179,0,Facilitating the Study of Assisted Housing Effects on Children and Families: Statistically Crosswalking the Panel Study of Income Dynamics and the American Housing Survey
1716,0,Economic Strategies of Survival and Mobility:  Ethnic Entrepreneurship in the United States
3828,14,Imports and Productivity in U.S. Manufacturing
1353,32,Linking the National Survey of College Graduates to Census Bureau Employer Data
487,0,"""Fixing"" 1990-2010 Census Geography: Geocoding Restricted Data and Assessing Public Estimates"
3047,19,Causes and Consequences of Neighborhood Economic Transitions
5632,272,The Going Public Decision and the Product Market
5969,64,The Going Public Decision and the Product Market
5969,75,"Access to Financing and Its impact on Growth, Innovation, and Performance"
6335,21,The Going Public Decision and the Product Market
6335,26,"Access to Financing and Its impact on Growth, Innovation, and Performance"
6335,12,"Access to Financing and Its impact on Growth, Innovation, and Performance"
5969,2,"Access to Financing and Its impact on Growth, Innovation, and Performance"
3376,14,The Economic Effects of Firm Incentives and Improvements in Census Bureau Sampling Weights
4653,13,"Corporate Finance, Governance and Firm Performance"
2713,26,Embedded Experimental Design Methodology for Informing Annual Survey of Manufactures (ASM) Survey Redesigns
4874,18,Factor aging and technology adoption
4874,0,The Impact of Labor Management on Capital-Labor Substitution
1603,3,Developing an innovative methodology to measure the rural-urban continuum as applied to tobacco control
4239,26,Social Indicators for Rural Alaska Communities (SIRAC)
2032,16,"Identifying Shortcoming in Military Veteran Owned Businesses Data across Time and Survey, and Preparing Estimates Related to their Business Survival and Growth"
1789,115,Neighborhood and Metropolitan Racial Differences in Rental Property Management
2639,0,Civil Rights Legislation and the Labor Market Conditions of Southern-born Black Americans
2090,0,Analysis of the Child Care Market in the United States
1617,126,The Industry Life-Cycle of the Size Distribution of Firms
1405,14,The Industry Life-Cycle of the Size Distribution of Firms
2439,51,"Democracy, Institutions, Firms and Trade"
7796,23,Analysis of the Child Care Market in the United States
1221,54,The Industry Life-Cycle of the Size Distribution of Firms
2682,8,"Democracy, Institutions, Firms and Trade"
1586,3,"Democracy, Institutions, Firms and Trade"
7796,1,Distributional Consequences of Electrifying the Trucking Industry
2378,45,"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit"
2317,16,"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit"
156,0,The Industry Life-Cycle of the Size Distribution of Firms
5573,227,"Ethnicity and Interview Language in the NCVS: An Analysis of Response Patterns, Data Quality, and Experiences with Crime"
8314,322,The Impact of Violence on Neighborhood Business Activity
1378,27,"Ethnicity and Interview Language in the NCVS: An Analysis of Response Patterns, Data Quality, and Experiences with Crime"
8130,147,"Ethnicity and Interview Language in the NCVS: An Analysis of Response Patterns, Data Quality, and Experiences with Crime"
7949,76,"Ethnicity and Interview Language in the NCVS: An Analysis of Response Patterns, Data Quality, and Experiences with Crime"
9044,31,"Ethnicity and Interview Language in the NCVS: An Analysis of Response Patterns, Data Quality, and Experiences with Crime"
872,3,"Racialization, Class, and Migration: Intersectional Effects of Structural Discrimination on Child Access to WIC"
1647,9,"Dynamics of Workplace Wages, Returns to R&D and the Economic Impact of Science and Engineering Workers"
1952,0,"Dynamics of Workplace Wages, Returns to R&D and the Economic Impact of Science and Engineering Workers"
2682,20,Factors associated with internal and international migration at the block group level
2573,10,Factors associated with internal and international migration at the block group level
2463,2,Factors associated with internal and international migration at the block group level
964,0,Factors associated with internal and international migration at the block group level
9105,243,"Firm Performance, Entrepreneurship, and Human Capital"
1586,4,Competition and Economic Growth
3413,3,"Organizations in the Digital Economy: Information Technology Use, Complementary Investments, and Impacts on Firm Outcomes"
2409,6,Import Competition for Domestic Producers:  Denim Cloth and Apparel
2693,4,Developing an innovative methodology to measure the rural-urban continuum as applied to tobacco control
5239,9,The Impact of Location-Based and Business Designation
3413,12,Causes and Macroeconomic Implications of the Growth of the Professional Business Services
739,3,Population-level Determinants of SNAP Participation Patterns among Residents of North and South Carolina
491,0,Effects of Subcontracting and other Contractor Characteristics on Injuries in the Construction Industry
2784,11,The Effects of Corporate Actions on Customer and Supplier Relationships
1586,2,The Labor Market for Older Workers
813,2,The Labor Market for Older Workers
1586,0,Understanding Factors Affecting the Ability of Older Workers to Participate in the Labor Force: Employer Concentration and Employer Demand
11966,6,Comparison of the Distributions of Production and Energy Efficiency in Manufacturing: Phase II.
960,10,"Migration, Gentrification, and the Residential Integration of Same-Sex Couples: An Analysis of Census Microdata"
3875,3,Demographic Inversion in U.S. Metropolitan Areas
4874,9,Efficiency Implications of Corporate Diversification: Evidence from Micro Data
3778,60,Associations between Public Housing and Labor Market Outcomes
4843,76,The Determinants and Impacts of Great Society Programs
8406,607,The Determinants of Industrial Location
6610,117,The Determinants of Industrial Location
10718,1538,"Globalization, Investment and Corporate Payout Strategies"
1221,1,"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit"
531,4,Short-Run and Long-Run Impacts of Pollution Abatement Spending on Economic and Environmental Outcomes
2682,30,"Intermediate Goods Trade and Firm Organizational Form: Offshoring, Outsourcing and the Effect on Labor"
2407,4,What is the effect of the cultural environment on the local economy?
3413,0,What is the effect of the cultural environment on the local economy?
1221,0,"Wage Mandates, Staff Turnover and Nursing Home Quality"
1221,0,"Wage Mandates, Staff Turnover and Nursing Home Quality"
4874,4,"Hearing Quality, Social Resources, and Mortality among U.S. Adults"
5239,2,"Hearing Quality, Social Resources, and Mortality among U.S. Adults"
3905,0,"Location, growth, and productivity in the manufacturing and service sectors"
4143,24,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
4143,20,"Employment, Agglomeration, and the Spatial Sorting of Households and Firms"
698,63,From the Baby Boom: The Contraceptive Origins of Women
7034,216,"Trends, Transitions, and Well-Being in Small-Town America"
3601,375,"Human Capital and Corporate Financing, Restructuring, and Governance"
5239,24,"Human Capital and Corporate Financing, Restructuring, and Governance"
4874,16,"Human Capital and Corporate Financing, Restructuring, and Governance"
4874,5,Identifying Agglomeration Spillovers:  New Evidence from Large Plant Openings
3778,5,Are Firms' Internal Capital Markets Efficient? Evidence from Regional Government Subsidies
2843,36,Home Equity  Lending and Small Business: Relaxing Credit Constraints in Texas
5969,18,Home Equity  Lending and Small Business: Relaxing Credit Constraints in Texas
1310,10,Home Equity  Lending and Small Business: Relaxing Credit Constraints in Texas
2197,6,Home Equity  Lending and Small Business: Relaxing Credit Constraints in Texas
3778,4,Home Equity  Lending and Small Business: Relaxing Credit Constraints in Texas
1171,1,Home Equity  Lending and Small Business: Relaxing Credit Constraints in Texas
3047,0,Home Equity  Lending and Small Business: Relaxing Credit Constraints in Texas
5665,15,Home Equity  Lending and Small Business: Relaxing Credit Constraints in Texas
350,2,Measuring Uncertainty Over the Business Cycle
1221,3,Measuring Uncertainty Over the Business Cycle
5969,92,Assessing and Improving Measurement of Innovation and International Trade in the Service Sector
10352,83,Globalization and the Rise of Dispersion in Firm Performance
2197,0,"Place and Cohort of Birth, Program Availability, and the Measurement of Labor Market Outcomes"
2317,0,"Place and Cohort of Birth, Program Availability, and the Measurement of Labor Market Outcomes"
5604,22,Assessing and Improving Measurement of Innovation and International Trade in the Service Sector
1414,169,The Dynamics of the Allocation of Capital and Labor in the United States
2342,9,The Effect of Medicaid Expansion on Mortality Disparities and Poverty
2277,13,The Effect of Medicaid Expansion on Mortality Disparities and Poverty
1433,2,The Effect of Medicaid Expansion on Mortality Disparities and Poverty
1441,2,The Effect of Medicaid Expansion on Mortality Disparities and Poverty
2307,1,The Effect of Medicaid Expansion on Mortality Disparities and Poverty
2034,34,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
2601,5,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
2682,3,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
2146,2,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
5939,64,Misreporting of Program Participation in the Current Population Survey:
5969,37,Misreporting of Program Participation in the Current Population Survey:
5239,5,The Impact of Medicare on Mortality
5425,2,Domestic and Export Supply Chains in US Agriculture
6889,13,Evaluation of New Service Firm Entries in the SSEL and Analysis of Regional Differences in their Entry Rates
552,15,Credit Markets and Real Corporate Policies
4326,31,Immigrant Generations Across the 20th Century
1676,10,Validating Estimates of Migration Status among Asian Immigrants in Representative Data Sources
2568,27,Immigrant Generations Across the 20th Century
1952,1,"Innovation, Concentration, and Growth"
785,7,Examining the Long Term Effects of Early Health Shocks 
1390,8,Examining the Long Term Effects of Early Health Shocks 
2413,12,Examining the Long Term Effects of Early Health Shocks 
1649,17,Examining the Long Term Effects of Early Health Shocks 
2913,1,The Effects of Interactions with International Markets on US Firm Performance
323,0,"When Opportunity Moves To Or Away From You: An Analysis Of The Mechanisms Linking Geographic, Economic, Institutional, And Social Space With Entrepreneurship, Innovation, And Business Performance"
3434,77,"Private Equity Long-Term Outcomes: A Study Examining Firm Productivity, Employment and Worker Wages"
736,7,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
797,3,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
856,1,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
5392,454,Labor Market Implications of Credit Supply Shocks
8526,336,The Impact of Natural Disasters on Business Dynamics
4023,8,Measuring the Impact of Trade on the U.S. Economy
4143,7,Measuring the Impact of Trade on the U.S. Economy
2592,110,Social Capital and Entrepreneurship
5604,127,Labor Market Implications of Credit Supply Shocks
2860,61,Resettlement and Well-Being of New Orleans Residents after Hurricane Katrina
2471,33,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
3413,17,The Impact of Natural Disasters on Business Dynamics
5969,4,"The Dynamics of Compensation at Young, High Growth Firms"
3778,4,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
677,6,"Family Resources, Race, and Small Business Outcomes"
2378,5,Defensive Innovation and Firm Growth in the U.S.: Impact of International Trade
3778,2,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
4023,21,Using Synthetic Data in the American Community Survey
5239,24,Firm Dynamics in the Agricultural Services Sector: Evidence from the Longitudinal Business Database
1586,0,Defensive Innovation and Firm Growth in the U.S.: Impact of International Trade
4023,1,Older Workers' Displacement and Mobility
2682,2,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
4265,25,"Labor Transition Away from Fossil Fuels: The Coal Decline Impacts on Employment, Wage, and Internal Migration in the U.S."
4508,21,"Labor Transition Away from Fossil Fuels: The Coal Decline Impacts on Employment, Wage, and Internal Migration in the U.S."
3413,7,"The Impact of Right-to-Work Law on Firms' Employment, Performance, and Financial Decisions: Evidence from a Natural Experiment"
1221,2,"Labor Transition Away from Fossil Fuels: The Coal Decline Impacts on Employment, Wage, and Internal Migration in the U.S."
9471,215,"BR00-05 Interactions, Neighborhood Selection and Housing Demand"
9136,187,"BR00-05 Interactions, Neighborhood Selection and Housing Demand"
7918,176,"BR00-05 Interactions, Neighborhood Selection and Housing Demand"
2651,50,Examining Workplace Geo-coding for Travel Forecasting Using the American Community Survey
1602,71,An Analysis of the Measurement and Determinants of Vertical Integration
2562,63,An Analysis of the Measurement and Determinants of Vertical Integration
1831,23,An Analysis of the Measurement and Determinants of Vertical Integration
2682,4,"Minimum Wages, the Earned Income Tax Credit, and Neighborhoods: New Research"
2807,4,Improving the Connection between the Spatial and the Survey Sciences
2574,32,Causes and Consequences of Neighborhood Economic Transitions
724,0,Individuals and Neighborhoods: A Reciprocal Relationship and its Consequences for Change over Time
4174,72,Health and Migration in the Continental United States
1317,13,Immigrant Generations Across the 20th Century
1302,17,Validating Estimates of Migration Status among Asian Immigrants in Representative Data Sources
190,2,Migration Trajectories of International Students in the United States
4023,326,Effects of CPS Topcoding on Labor Earnings and Income Inequality Estimates
4143,61,Effects of CPS Topcoding on Labor Earnings and Income Inequality Estimates
4143,15,Effects of CPS Topcoding on Labor Earnings and Income Inequality Estimates
4143,7,Effects of CPS Topcoding on Labor Earnings and Income Inequality Estimates
3024,50,Using Synthetic Data in the American Community Survey
3028,32,Using Synthetic Data in the American Community Survey
3610,15,Managerial Incentives in the Asset Management Industry
2804,11,Using Synthetic Data in the American Community Survey
3064,12,Generating A Geographic Wage Comparison Index
1012,3,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation"
2608,5,Measurement and Analysis of Diversification
2420,2,Using Synthetic Data in the American Community Survey
3778,2,Using Synthetic Data in the American Community Survey
1221,1,Estimates of US Food Insecurity Dynamics: Measuring Food Insecurity Across the US with a New Synthetic Panel Approach
856,1,Using Synthetic Data in the American Community Survey
4143,0,Using Synthetic Data in the American Community Survey
3778,0,Using Synthetic Data in the American Community Survey
3778,0,Using Synthetic Data in the American Community Survey
3413,0,Measurement and Analysis of Diversification
4663,30,Estimating Two-Sided Assignment Models Using LEHD Data
5026,12,Weighting Factor Development Using the Census of Retail Trade
5453,32,Job Availability and Employment
1800,4,"Work, Race, Place, and Health: How Work Contexts Shape Racial/Ethnic Disparities in Mortality"
1023,9,Firm financial constraints and employment
2682,1,Political Environments and Manufacturing Employment and Investment
1952,0,"Corporate governance, managerial replacement and firm performance: Evidence from plant-level data"
9714,34,Disability Insurance and Employment Decisions
6700,7,Analysis of Census Nonemployer Data and Integration of These  Data into Other Census Longitudinal Data Series
6519,87,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
5969,19,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
917,40,The Industry Life-Cycle of the Size Distribution of Firms
736,26,The Industry Life-Cycle of the Size Distribution of Firms
6610,60,The Effect of Wage Floors on Technology Adoption and Firm Dynamics
6700,6,The Effect of Wage Floors on Technology Adoption and Firm Dynamics
8985,253,Parameterizing the Income Distribution
1586,9,R&D Expenditures by Industry
953,13,R&D Expenditures by Industry
2197,4,Using the Survey of Plant Capacity to Measure Capital Utilization
2317,3,Using the Survey of Plant Capacity to Measure Capital Utilization
2317,1,Using the Survey of Plant Capacity to Measure Capital Utilization
247,1,Marriage and Economic Opportunity in the United States
2399,1,Measuring Income and Poverty from a Multi-year Perspective
125,0,R&D Expenditures by Industry
1221,0,R&D Expenditures by Industry
1221,0,R&D Expenditures by Industry
1435,33,The Roles of the Opioid and COVID Crises in Entrepreneurship and Innovation
330,1,Estimates of the Earned Income Tax Credit on Employment and Wages
1221,3,The Long-Term Effects of Housing Mobility on Civic and Political Participation
1221,0,The Relationship between Military Service and STEM Outcomes: Integrating Data from Three Federal Statistical Agencies
6427,396,"Employment, Agglomeration, and the Spatial Sorting of Households and Firms"
5487,104,The Emergence of E-Commerce Usage and the Characteristics of Firm Structures and Operations
5314,46,Methodologies for Analyzing Risk Assessment
5392,27,The effect of access to subsidized housing in the United States
728,0,Individuals and Neighborhoods: A Reciprocal Relationship and its Consequences for Change over Time
3144,28,American Communities Project
2505,41,Measuring Income Segregation with Precise Income Data
2127,8,Synthetic Data Generation for Small Area Estimation
3245,73,Improving Estimates for Post-2000 Small Area Data
2835,0,Measuring Income Segregation with Precise Income Data
4011,407,The Mixed-Race Household in Residential Space: Proposal to Access 1990 and 2000 Decennial Long Form Data
3688,7,A Study of the Annual Capital Expenditures Survey Data
3800,5,The Role of Mothers on Social Mobility of Sons and Assortative Mating in the United States
616,1,Synthetic Data Generation for Small Area Estimation
3877,97,The Determinants and Impacts of Great Society Programs
3569,61,The Price of a Safe Home: Lead-Abatement Mandates and the Housing Market
2486,20,Worker and Firm Responses to Changes in the Business Environment
4874,20,The Determinants and Impacts of Great Society Programs
3960,9,"Geographic Deregulation of U.S. Banking, Market Selection, and Economic Growth"
4508,13,Human Capital Externalities & the Investment Decision of US Manufacturing Firms
2625,9,Disability Insurance and Employment Decisions
3778,8,College Graduates' Response to Vacancy Postings and the Implications for Productivity
3174,5,The Going Public Decision and the Product Market
2877,6,Synthetic Data Generation for Small Area Estimation
3133,9,Mechanisms behind Higher Mobility Rates among College Graduates
4874,4,"Trends, Transitions, and Well-Being in Small-Town America"
3108,2,The Effects of Cigarette Price and Tax Increases on Decisions to Quit Smoking
3413,2,The Effects of Cigarette Price and Tax Increases on Decisions to Quit Smoking
4508,2,"Geographic Deregulation of U.S. Banking, Market Selection, and Economic Growth"
3047,2,Worker and Firm Responses to Changes in the Business Environment
4143,1,Returns to Scale in U.S. Manufacturing and Construction Establishments
3778,1,"Firm Disclosure Costs, Private Equity, and the Decision to Stay Private"
2317,1,Worker and Firm Responses to Changes in the Business Environment
1952,1,Performance Determinants of Small Businesses: The Role of Small Business Programs
3444,1,College Graduates' Response to Vacancy Postings and the Implications for Productivity
3047,1,International Trade and U.S. Rural Economies: An Analysis of Male-Female Wage and Employment Differentials
4874,1,"Trends, Transitions, and Well-Being in Small-Town America"
3778,0,"College Graduate Outcomes: College Major and Selectivity, Earnings, Career Ladders and Labor Demand Shocks"
4508,0,The Price of a Safe Home: Lead-Abatement Mandates and the Housing Market
2317,0,Linking the National Survey of College Graduates to Census Bureau Employer Data
4275,26,Trends and Processes of Hispanic Neighborhood Ascent in the U.S.
4143,2,College Graduates' Response to Vacancy Postings and the Implications for Productivity
2076,26,Gated Communities and Inequality in the United States
1082,2,Examining Longitudinal Labor Market Outcomes in the US with New Data and Methods
2010,6,The Determinants and Consequences of Personal Bankruptcy
3322,51,The Price of a Safe Home: Lead-Abatement Mandates and the Housing Market
922,9,"COVID-19 Outbreaks, Immigration Enforcement, and Demographic Change in the Rural United States"
461,1,The social contexts of the children of immigrants in the U.S.
5788,17,The Effect of Local Demand Shocks on Labor Market Outcomes: A Natural Experiment in the Aircraft Manufacturing Industry
5604,3,Food manufacturing and markup estimation
5239,1,"Structural Change, Regulation, and Productivity Growth in the Meat and Poultry Industries"
2682,3,Forecasting Income Inequality in the United States
2682,3,Forecasting Income Inequality in the United States
1952,1,Social Capital and Entrepreneurship
3413,31,Factors Driving Changes in U.S. Firms' International Sourcing from China
2623,12,Factors Driving Changes in U.S. Firms' International Sourcing from China
4814,0,Factors Driving Changes in U.S. Firms' International Sourcing from China
4722,4,Facilitating the Study of Assisted Housing Effects on Children and Families: Statistically Crosswalking the Panel Study of Income Dynamics and the American Housing Survey
5239,3,Facilitating the Study of Assisted Housing Effects on Children and Families: Statistically Crosswalking the Panel Study of Income Dynamics and the American Housing Survey
3778,0,Improving the quality of the National Crime Victimization Survey and Police Public Contact Survey in order to better understand the determinates of help-seeking behavior among victims of intimate-partner and sexual assaults
1586,0,Defensive Innovation and Firm Growth in the U.S.: Impact of International Trade
